refPoint=onward;Lorg/apache/hadoop/mapred/JobTracker;removeMarkedTasks;removeTaskEntry;862;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;failedJobs;getStatus;1029;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;runningJobs;getStatus;1009;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;completedJobs;getStatus;1040;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=onward;Lorg/apache/hadoop/mapred/JobTracker;processHeartbeat;updateTaskTrackerStatus;1216;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=onward;Lorg/apache/hadoop/mapred/JobTracker;processHeartbeat;lostTaskTracker;1222;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=onward;Lorg/apache/hadoop/mapred/JobTracker;processHeartbeat;updateTaskStatuses;1239;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getNewTaskForTaskTracker;desiredMaps;1275;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getNewTaskForTaskTracker;desiredReduces;1276;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getNewTaskForTaskTracker;getStatus;1274;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getNewTaskForTaskTracker;desiredReduces;1375;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getNewTaskForTaskTracker;getStatus;1358;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getNewTaskForTaskTracker;desiredMaps;1338;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getNewTaskForTaskTracker;getStatus;1322;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobTracker;submitJob;resortPriority;1486;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;submitJob;getProfile;1483;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;submitJob;getStatus;1492;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getTasksToKill;getStatus;1410;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getTasksToKill;getStatus;1414;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getMapTaskReports;reportTasksInProgress;1571;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getMapTaskReports;reportTasksInProgress;1565;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getReduceTaskReports;reportTasksInProgress;1587;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
refPoint=pre;Lorg/apache/hadoop/mapred/JobInProgress;getReduceTaskReports;reportTasksInProgress;1592;Lorg/apache/hadoop/mapred/JobTracker;Lorg/apache/hadoop/mapred/JobInProgress
